dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;anneeMesureTrafic;typeComptageTrafic;TMJA;RatioPL;lngD;latD;zzD;lngF;latF;zzF
2017-01-01;A0001;1694.0;42;60;C;426.0;42421.0;671659.18;6900723.98;0;44;60;C;120.0;44115.0;672898.32;6901829.46;0;2017;Permanent horaire;60867;22.3;2.611140484716278;49.205604475178575;0.0;2.6280708100028116;49.21559647143962;0.0
2017-01-01;A0001;6449.1;44;60;C;120.0;44115.0;672898.32;6901829.46;0;50;60;C;569.1;50564.1;677122.54;6906581.91;0;2017;Permanent horaire;66857;22.4;2.6280708100028116;49.21559647143962;0.0;2.6857815821234174;49.258485214887095;0.0
2017-01-01;A0001;6630.9;50;60;C;569.1;50564.1;677122.54;6906581.91;0;57;60;C;200.0;57195.0;677153.63;6912926.46;0;2017;Permanent horaire;66857;22.4;2.6857815821234174;49.258485214887095;0.0;2.685861919243617;49.315519942774316;0.0
2017-01-01;A0001;540.0;57;60;C;200.0;57195.0;677153.63;6912926.46;0;57;60;C;740.0;57735.0;677266.69;6913453.96;0;2017;Permanent horaire;66857;22.4;2.685861919243617;49.315519942774316;0.0;2.6873877654008274;49.32026572551363;0.0
2017-01-01;A0001;8733.0;57;60;C;740.0;57735.0;677266.69;6913453.96;0;66;60;C;473.0;66468.0;678037.69;6921956.81;0;2017;Permanent horaire;59888;23.8;2.6873877654008274;49.32026572551363;0.0;2.697542033123256;49.39672241608813;0.0
2017-01-01;A0001;14075.0;66;60;C;473.0;66468.0;678037.69;6921956.81;0;80;60;C;548.0;80543.0;679798.6;6935804.41;0;2017;Permanent horaire;55862;24.8;2.697542033123256;49.39672241608813;0.0;2.721118985565286;49.52123942786961;0.0
2017-01-01;A0001;11468.0;80;60;C;548.0;80543.0;679798.6;6935804.41;0;92;60;C;16.0;92011.0;682330.82;6946951.22;0;2017;Permanent horaire;56334;24.6;2.721118985565286;49.52123942786961;0.0;2.7555998444311545;49.621487187160994;0.0
2017-01-01;A0001;9286.0;92;60;C;16.0;92011.0;682330.82;6946951.22;0;101;80;C;302.0;101297.0;683521.06;6956096.26;0;2017;Permanent horaire;56334;24.6;2.7555998444311545;49.621487187160994;0.0;2.771697423936466;49.70369388134816;0.0
2017-01-01;A0001;17216.0;101;80;C;302.0;101297.0;683521.06;6956096.26;0;118;80;C;518.0;118513.0;687952.35;6972646.77;0;2017;Permanent horaire;53227;25.3;2.771697423936466;49.70369388134816;0.0;2.8326031044149387;49.852491682894;0.0
2017-01-01;A0001;2964.0;118;80;C;518.0;118513.0;687952.35;6972646.77;0;121;80;C;482.0;121477.0;688279.75;6975587.31;0;2017;Permanent horaire;65332;23.9;2.8326031044149387;49.852491682894;0.0;2.837067867163672;49.87891434417409;0.0
2017-01-01;A0001;10318.0;121;80;C;482.0;121477.0;688279.75;6975587.31;0;131;80;C;800.0;131795.0;690053.14;6985652.09;0;2017;Permanent horaire;65673;24.6;2.837067867163672;49.87891434417409;0.0;2.8614755997273837;49.96935578470176;0.0
2017-01-01;A0001;4966.0;131;80;C;800.0;131795.0;690053.14;6985652.09;0;136;80;C;766.0;136761.0;691300.52;6990418.63;0;2017;Permanent horaire;66332;24.5;2.8614755997273837;49.96935578470176;0.0;2.8787452051009326;50.01218806868541;0.0
2017-01-01;A0001;2220.0;136;80;C;766.0;136761.0;691300.52;6990418.63;0;138;80;C;986.0;138981.0;691699.49;6992566.8;0;2017;Permanent horaire;43194;25.4;2.8787452051009326;50.01218806868541;0.0;2.884262220727895;50.031487909126035;0.0
2017-01-01;A0001;7891.0;138;80;C;986.0;138981.0;691699.49;6992566.8;0;146;62;C;877.0;146872.0;690810.76;7000322.77;0;2017;Permanent horaire;43194;25.4;2.884262220727895;50.031487909126035;0.0;2.8716945518302652;50.10113427031288;0.0
2017-01-01;A0001;19107.0;146;62;C;877.0;146872.0;690810.76;7000322.77;0;165;62;C;984.0;165979.0;690643.76;7019125.54;0;2017;Permanent horaire;44668;25.3;2.8716945518302652;50.10113427031288;0.0;2.868927013948823;50.26997868707811;0.0
2017-01-01;A0001;4322.0;165;62;C;984.0;165979.0;690643.76;7019125.54;0;170;62;C;306.0;170301.0;692273.23;7023135.59;0;2017;Permanent horaire;45946;25.6;2.868927013948823;50.26997868707811;0.0;2.891677409384869;50.30600574691145;0.0
2017-01-01;A0001;1122.0;170;62;C;306.0;170301.0;692273.23;7023135.59;0;171;62;C;428.0;171423.0;692876.07;7024098.54;0;2017;Permanent horaire;47479;25.0;2.891677409384869;50.30600574691145;0.0;2.900111614837857;50.31465862369487;0.0
2017-01-01;A0001;2638.0;171;62;C;428.0;171423.0;692876.07;7024098.54;0;174;62;C;66.0;174061.0;694420.66;7026227.86;0;2017;Permanent horaire;47479;25.0;2.900111614837857;50.31465862369487;0.0;2.921739520007302;50.3337917731549;0.0
2017-01-01;A0001;8134.0;174;62;C;66.0;174061.0;694420.66;7026227.86;0;182;62;C;200.0;182195.0;698753.15;7032871.8;0;2017;Permanent horaire;72311;18.5;2.921739520007302;50.3337917731549;0.0;2.982489969921654;50.39346290689005;0.0
2017-01-01;A0001;6345.0;187;62;N;0.0;186911.0;698351.8;7037530.5;0;0;59;N;0.0;193256.0;699289.39;7043597.96;0;2017;Permanent horaire;103274;;2.9768344524862087;50.435283605007285;0.0;2.9900015363860337;50.48974987917079;0.0
2017-01-01;A0002;3533.0;0;80;C;0.0;0.0;691468.61;6990871.19;0;3;80;C;533.0;3533.0;693370.6;6993152.82;0;2017;Permanent horaire;23136;22.7;2.881078567877962;50.01625521374734;0.0;2.907553675684137;50.03677113648191;0.0
2017-01-01;A0002;1122.0;3;80;C;533.0;3533.0;693370.6;6993152.82;0;4;62;C;655.0;4655.0;694311.12;6993756.09;0;2017;Permanent horaire;23136;22.7;2.907553675684137;50.03677113648191;0.0;2.920660671392374;50.04219866478307;0.0
2017-01-01;A0002;382.0;4;62;C;655.0;4655.0;694311.12;6993756.09;0;5;80;C;37.0;5037.0;694644.11;6993988.07;0;2017;Permanent horaire;23136;22.7;2.920660671392374;50.04219866478307;0.0;2.925301615752705;50.04428512743108;0.0
2017-01-01;A0002;18563.0;5;80;C;37.0;5037.0;694644.11;6993988.07;0;23;62;C;600.0;23600.0;709096.78;7005129.89;0;2017;Permanent horaire;23136;22.7;2.925301615752705;50.04428512743108;0.0;3.127122527520703;50.144306634896424;0.0
2017-01-01;A0002;39.0;23;62;C;600.0;23600.0;709096.78;7005129.89;0;23;62;C;639.0;23639.0;709125.65;7005156.86;0;2017;Permanent horaire;29973;21.7;3.127122527520703;50.144306634896424;0.0;3.127526577976695;50.144548417855184;0.0
2017-01-01;A0002;5675.0;23;62;C;639.0;23639.0;709125.65;7005156.86;0;29;59;C;314.0;29314.0;713256.58;7008857.81;0;2017;Permanent horaire;29973;21.7;3.127526577976695;50.144548417855184;0.0;3.1853755801851915;50.17771012528653;0.0
2017-01-01;A0002;13009.0;29;59;C;314.0;29314.0;713256.58;7008857.81;0;42;59;C;323.0;42323.0;722859.41;7017215.47;0;2017;Permanent horaire;30551;21.7;3.1853755801851915;50.17771012528653;0.0;3.320130998654977;50.25248182359556;0.0
2017-01-01;A0002;4989.0;43;59;N;0.0;42681.0;722957.28;7017335.1;0;48;59;N;0.0;47670.0;725627.61;7021472.12;0;2017;Permanent horaire;42949;17.4;3.3215084098809537;50.25355241377911;0.0;3.359168460312257;50.290594476813936;0.0
2017-01-01;A0002;4768.0;48;59;N;0.0;47670.0;725627.61;7021472.12;0;52;59;N;775.0;52438.0;729320.16;7024317.7;0;2017;Temporaire journalier;28690;;3.359168460312257;50.290594476813936;0.0;3.411125953374838;50.31598146115374;0.0
2017-01-01;A0002;6214.0;52;59;N;775.0;52438.0;729320.16;7024317.7;0;59;59;N;0.0;58652.0;734644.04;7027141.1;0;2017;Permanent horaire;66699;;3.411125953374838;50.31598146115374;0.0;3.486019090919868;50.34105849565075;0.0
2017-01-01;A0002;1946.0;59;59;N;25.0;58677.0;734668.99;7027138.4;0;60;59;N;973.0;60623.0;736575.72;7026722.4;0;2017;Permanent horaire;52423;0.0;3.486368870767163;50.34103287622767;0.0;3.5130796004926457;50.33718974792267;0.0
2017-01-01;A0002;3050.0;60;59;N;973.0;60623.0;736575.72;7026722.4;0;64;59;N;30.0;63673.0;739544.2;7026627.58;0;2017;Temporaire journalier;94609;;3.5130796004926457;50.33718974792267;0.0;3.5547104020725837;50.336158268823496;0.0
2017-01-01;A0002;14422.0;64;59;N;30.0;63673.0;739544.2;7026627.58;0;78;59;N;456.0;78095.0;747571.15;7038120.55;0;2017;Permanent horaire;38895;14.3;3.5547104020725837;50.336158268823496;0.0;3.668669564105035;50.4387744167648;0.0
2017-01-01;A0003;2657.0;0;93;N;0.0;0.0;656905.33;6862885.42;0;2;93;N;600.0;2657.0;659114.41;6864178.5;0;2017;Permanent horaire;141519;;2.412573919301374;48.86455746243177;0.0;2.442560566622674;48.8763299697372;0.0
2017-01-01;A0003;2026.0;2;93;N;600.0;2657.0;659114.41;6864178.5;0;5;93;N;0.0;4683.0;660895.34;6864995.05;0;2017;Permanent horaire;141519;;2.442560566622674;48.8763299697372;0.0;2.466766062459424;48.88378365337371;0.0
2017-01-01;A0003;850.0;5;93;N;0.0;4683.0;660895.34;6864995.05;0;5;93;N;850.0;5533.0;661435.53;6865523.69;0;2017;Permanent horaire;141519;;2.466766062459424;48.88378365337371;0.0;2.474083901785172;48.888570169341975;0.0
2017-01-01;A0003;570.0;5;93;N;850.0;5533.0;661435.53;6865523.69;0;6;93;N;480.0;6103.0;661319.11;6866075.76;0;2017;Permanent horaire;118500;;2.474083901785172;48.888570169341975;0.0;2.472445992495264;48.89352780094019;0.0
2017-01-01;A0003;790.0;6;93;N;480.0;6103.0;661319.11;6866075.76;0;7;93;N;300.0;6893.0;661125.19;6866817.22;0;2017;Permanent horaire;118500;;2.472445992495264;48.89352780094019;0.0;2.4697333616966857;48.90018383168099;0.0
2017-01-01;A0003;6850.0;7;93;N;300.0;6893.0;661125.19;6866817.22;0;13;93;N;970.0;13743.0;661440.9;6873410.96;0;2017;Permanent horaire;169954;;2.4697333616966857;48.90018383168099;0.0;2.473439871995667;48.95949642038305;0.0
2017-01-01;A0003;1082.0;13;93;N;970.0;13743.0;661440.9;6873410.96;0;15;93;N;0.0;14825.0;661891.48;6874348.86;0;2017;Permanent horaire;169954;;2.473439871995667;48.95949642038305;0.0;2.479508355146217;48.96795699990014;0.0
2017-01-01;A0003;234.0;15;93;N;0.0;14825.0;661891.48;6874348.86;0;0;95;N;0.0;15059.0;662060.05;6874511.28;0;2017;Permanent horaire;169954;;2.479508355146217;48.96795699990014;0.0;2.4817960840825926;48.96942746471975;0.0
2017-01-01;A0004;730.1;0;94;N;0.0;0.0;655327.41;6858648.39;0;0;94;N;730.1;730.1;655824.42;6858113.78;0;2017;Permanent horaire;204200;;2.3915110883053656;48.826346216488666;0.0;2.398336122358424;48.8215726090044;0.0
2017-01-01;A0004;2255.9;0;94;N;730.1;730.1;655824.42;6858113.78;0;2;94;N;968.0;2986.0;658000.74;6857607.6;0;2017;Permanent horaire;204200;;2.398336122358424;48.8215726090044;0.0;2.4280261036408217;48.81716585633964;0.0
